emit_way,substance,unit,total_quantity
Releases to Air,"1,1,2,2-Tetrachloroethane",grams,3202000
Releases to Air,"1,1,2-Trichloroethane",grams,23478000
Releases to Air,"1,1-Methylenebis(4-isocyanatocyclohexane)",grams,7000
Releases to Air,"1,2,4-Trichlorobenzene",grams,41820552
Releases to Air,"1,2,4-Trimethylbenzene",grams,19560249483
Releases to Air,"1,2-Butylene oxide",grams,204000
Releases to Air,"1,2-Dichloroethane",grams,179527471
Releases to Air,"1,2-Dichloropropane",grams,10400
Releases to Air,"1,3-Butadiene",grams,2302511949
Releases to Air,"1,4-Benzenediamine, N,N'-mixed phenyl and tolyl derivatives",grams,6697.76
Releases to Air,"1,4-Dioxane",grams,103577700
Releases to Air,1-Nitropyrene,grams,28119.199999999997
Releases to Air,"2,4-Dinitrotoluene",grams,23080000
Releases to Air,"2,6-Di-t-butyl-4-methylphenol",grams,11854000
Releases to Air,2-(2-Methoxyethoxy)ethanol,grams,179797
Releases to Air,2-Butoxyethanol,grams,15944369713
Releases to Air,2-Ethoxyethanol,grams,110233100
Releases to Air,2-Ethoxyethyl acetate,grams,203738000
Releases to Air,2-Mercaptobenzothiazole,grams,15502100
Releases to Air,2-Methoxyethanol,grams,125038600
Releases to Air,"2-Propanone, reaction products with diphenylamine",grams,607032.902
Releases to Air,3-Methylcholanthrene,grams,10447.84900000001
Releases to Air,5-Methylchrysene,grams,5429.500000000002
Releases to Air,"7,12-Dimethylbenz[a]anthracene",grams,28989.368
Releases to Air,"7H-Dibenzo[c,g]carbazole",grams,3177220.1259999992
Releases to Air,Acenaphthene,grams,131769305.254
Releases to Air,Acenaphthylene,grams,381198795.2440003
Releases to Air,Acetaldehyde,grams,23314205409
Releases to Air,Acetone,grams,22629093000
Releases to Air,Acetonitrile,grams,943786100
Releases to Air,Acetophenone,grams,115238400
Releases to Air,Acrolein,grams,2438424698
Releases to Air,Acrylamide,grams,6904459
Releases to Air,Acrylic acid (and its salts),grams,56849486
Releases to Air,Acrylonitrile,grams,272461844.7
Releases to Air,"Alkanes, C10-13, chloro",grams,0
Releases to Air,Allyl alcohol,grams,2649500
Releases to Air,Aluminum (fume or dust only),grams,5686670127
Releases to Air,Aluminum oxide (fibrous forms only),grams,60282344
Releases to Air,Ammonia (total),grams,514586112117
Releases to Air,Ammonium nitrate (solution),grams,547148000
Releases to Air,Ammonium sulfate (solution),grams,255298000
Releases to Air,Aniline (and its salts),grams,1602200
Releases to Air,Anthracene,grams,282357461.924
Releases to Air,Antimony (and its compounds),grams,141187813
Releases to Air,Arsenic (and its compounds),grams,2643847022.3199997
Releases to Air,Asbestos,grams,707000
Releases to Air,Asbestos (friable form only),grams,4914200
Releases to Air,Benz[a]anthracene,grams,231356706.96
Releases to Air,Benzene,grams,30128774184
Releases to Air,Benzo[a]pyrene,grams,169453062.95499986
Releases to Air,Benzo[b]fluoranthene,grams,333114312.11100054
Releases to Air,Benzo[e]pyrene,grams,262347738.99599996
Releases to Air,Benzo[ghi]perylene,grams,125399148.20000009
Releases to Air,Benzo[j]fluoranthene,grams,61278281.453000054
Releases to Air,Benzo[k]fluoranthene,grams,119669867.60399985
Releases to Air,Benzoyl peroxide,grams,145060
Releases to Air,Benzyl chloride,grams,76000
Releases to Air,Biphenyl,grams,238913510
Releases to Air,Bis(2-ethylhexyl) adipate,grams,64148500
