NPRI_id,latitude,longitude
1,54.923116,-112.861867
4,50.568600000000004,-96.2267
7,45.5797,-73.7217
9,46.3098,-79.4412
11,53.5823,-113.5886
13,49.2046,-123.1419
15,43.24119,-79.74945
18,48.4211,-71.1898
21,43.86669,-79.73171
22,45.4358,-76.3372
25,43.1629,-80.2464
28,45.0189,-74.7551
31,42.31052,-83.04612
34,43.69226,-79.59705
37,42.9509,-82.414
40,45.582729,-71.995388
43,43.6533,-79.8953
49,45.388,-71.9428
52,45.7406,-73.6942
54,47.4717,-65.8897
57,47.35657,-70.05919
61,44.66378,-63.56803
64,43.4036,-80.4608
65,43.6297,-79.5231
70,43.7028,-79.7039
78,45.4542,-73.8278
79,53.5894,-113.57470000000001
87,43.5381,-80.3186
90,43.7172,-79.2832
92,44.7775,-79.9147
96,43.7941,-79.5029
99,48.25072,-78.44184
100,45.3004,-73.7522
105,45.39179,-72.75488
106,55.99857,-118.5298
108,48.5212,-81.1218
109,43.2344,-79.7439
110,44.8847,-76.0172
111,43.7639,-79.5408
112,43.8112,-79.4898
113,43.6587,-79.3373
116,45.8795,-72.5458
117,43.595,-79.5383
120,43.4988,-79.6446
123,43.8236,-79.3514
125,43.86123,-78.90416
127,43.3507,-80.5347
135,43.3475,-79.8008
136,42.8486,-80.3197
139,43.6956,-79.7328
144,45.47533,-73.70661
147,48.4583,-78.95
151,43.40031,-80.44804
152,51.00095,-113.98028
156,45.4913,-73.76257
158,45.5973,-73.5841
159,49.11148,-97.5601
161,43.27022,-79.84949
163,53.3252,-104.027
165,45.4889,-73.5516
167,43.6728,-79.4681
169,52.8292,-110.8592
171,43.6628,-79.6583
174,43.1483,-80.2556
177,43.9578,-78.1197
178,42.97912,-81.2449
179,43.7083,-79.5681
181,43.70977,-79.56632
183,45.8756,-72.5442
185,49.17453,-122.93186
188,45.44856,-73.67629
191,42.25179,-83.10071
192,50.9942,-113.9857
193,49.1774,-122.931
194,43.8792,-79.2792
196,43.0442,-80.8807
199,43.5958,-79.5406
201,44.2754,-78.3165
203,48.4758,-89.1514
204,48.3308,-89.2692
205,48.3989,-89.225
207,43.6972,-79.7044
209,44.3077,-81.55458
210,43.7375,-79.6931
211,46.828385,-71.220097
214,45.6483,-73.5172
215,43.5522,-80.284
216,43.7214,-79.2781
222,43.04687,-79.15261
223,56.37297,-117.18442
225,42.3903,-82.2136
227,44.734,-79.851
231,42.8475,-80.4897
238,43.3944,-80.329
239,44.1114,-77.5878
241,51.4153,-90.1028
245,43.685,-79.7194
247,43.60809,-79.57381
249,43.8347,-79.0279
250,53.83628,-113.13256
252,45.4501,-73.7363
253,45.5842,-73.7533
254,45.5849,-73.7518
255,44.1806,-77.3692
256,45.4179,-75.6503
257,45.65775,-73.54224
259,43.7195,-79.5237
264,43.62893,-79.6333
267,53.344,-114.305
269,53.5873,-113.363
271,45.5917,-76.6625
274,42.9484,-79.047
276,42.26166,-83.09557
279,49.0254,-76.9538
280,53.7332,-113.175
281,45.7317,-73.4033
